Format Version,1.24,Take Name,subject016-action008-move_010,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-05-18 10.26.10.968 上午,Capture Start Frame,319048,Total Frames in Take,515,Total Exported Frames,515,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,FKA-Skeleton 016_BackLeft,FKA-Skeleton 016_BackLeft,FKA-Skeleton 016_BackLeft,FKA-Skeleton 016_BackRight,FKA-Skeleton 016_BackRight,FKA-Skeleton 016_BackRight,FKA-Skeleton 016_BackTop,FKA-Skeleton 016_BackTop,FKA-Skeleton 016_BackTop,FKA-Skeleton 016_Chest,FKA-Skeleton 016_Chest,FKA-Skeleton 016_Chest,FKA-Skeleton 016_HeadFront,FKA-Skeleton 016_HeadFront,FKA-Skeleton 016_HeadFront,FKA-Skeleton 016_HeadSide,FKA-Skeleton 016_HeadSide,FKA-Skeleton 016_HeadSide,FKA-Skeleton 016_HeadTop,FKA-Skeleton 016_HeadTop,FKA-Skeleton 016_HeadTop,FKA-Skeleton 016_LAnkleOut,FKA-Skeleton 016_LAnkleOut,FKA-Skeleton 016_LAnkleOut,FKA-Skeleton 016_LElbowOut,FKA-Skeleton 016_LElbowOut,FKA-Skeleton 016_LElbowOut,FKA-Skeleton 016_LHandOut,FKA-Skeleton 016_LHandOut,FKA-Skeleton 016_LHandOut,FKA-Skeleton 016_LHeel,FKA-Skeleton 016_LHeel,FKA-Skeleton 016_LHeel,FKA-Skeleton 016_LKneeOut,FKA-Skeleton 016_LKneeOut,FKA-Skeleton 016_LKneeOut,FKA-Skeleton 016_LShin,FKA-Skeleton 016_LShin,FKA-Skeleton 016_LShin,FKA-Skeleton 016_LShoulderBack,FKA-Skeleton 016_LShoulderBack,FKA-Skeleton 016_LShoulderBack,FKA-Skeleton 016_LShoulderTop,FKA-Skeleton 016_LShoulderTop,FKA-Skeleton 016_LShoulderTop,FKA-Skeleton 016_LThigh,FKA-Skeleton 016_LThigh,FKA-Skeleton 016_LThigh,FKA-Skeleton 016_LToeIn,FKA-Skeleton 016_LToeIn,FKA-Skeleton 016_LToeIn,FKA-Skeleton 016_LToeOut,FKA-Skeleton 016_LToeOut,FKA-Skeleton 016_LToeOut,FKA-Skeleton 016_LToeTip,FKA-Skeleton 016_LToeTip,FKA-Skeleton 016_LToeTip,FKA-Skeleton 016_LUArmHigh,FKA-Skeleton 016_LUArmHigh,FKA-Skeleton 016_LUArmHigh,FKA-Skeleton 016_LWristIn,FKA-Skeleton 016_LWristIn,FKA-Skeleton 016_LWristIn,FKA-Skeleton 016_LWristOut,FKA-Skeleton 016_LWristOut,FKA-Skeleton 016_LWristOut,FKA-Skeleton 016_RAnkleOut,FKA-Skeleton 016_RAnkleOut,FKA-Skeleton 016_RAnkleOut,FKA-Skeleton 016_RElbowOut,FKA-Skeleton 016_RElbowOut,FKA-Skeleton 016_RElbowOut,FKA-Skeleton 016_RHandOut,FKA-Skeleton 016_RHandOut,FKA-Skeleton 016_RHandOut,FKA-Skeleton 016_RHeel,FKA-Skeleton 016_RHeel,FKA-Skeleton 016_RHeel,FKA-Skeleton 016_RKneeOut,FKA-Skeleton 016_RKneeOut,FKA-Skeleton 016_RKneeOut,FKA-Skeleton 016_RShin,FKA-Skeleton 016_RShin,FKA-Skeleton 016_RShin,FKA-Skeleton 016_RShoulderBack,FKA-Skeleton 016_RShoulderBack,FKA-Skeleton 016_RShoulderBack,FKA-Skeleton 016_RShoulderTop,FKA-Skeleton 016_RShoulderTop,FKA-Skeleton 016_RShoulderTop,FKA-Skeleton 016_RThigh,FKA-Skeleton 016_RThigh,FKA-Skeleton 016_RThigh,FKA-Skeleton 016_RToeIn,FKA-Skeleton 016_RToeIn,FKA-Skeleton 016_RToeIn,FKA-Skeleton 016_RToeOut,FKA-Skeleton 016_RToeOut,FKA-Skeleton 016_RToeOut,FKA-Skeleton 016_RToeTip,FKA-Skeleton 016_RToeTip,FKA-Skeleton 016_RToeTip,FKA-Skeleton 016_RUArmHigh,FKA-Skeleton 016_RUArmHigh,FKA-Skeleton 016_RUArmHigh,FKA-Skeleton 016_RWristIn,FKA-Skeleton 016_RWristIn,FKA-Skeleton 016_RWristIn,FKA-Skeleton 016_RWristOut,FKA-Skeleton 016_RWristOut,FKA-Skeleton 016_RWristOut,FKA-Skeleton 016_WaistLBack,FKA-Skeleton 016_WaistLBack,FKA-Skeleton 016_WaistLBack,FKA-Skeleton 016_WaistLFront,FKA-Skeleton 016_WaistLFront,FKA-Skeleton 016_WaistLFront,FKA-Skeleton 016_WaistRBack,FKA-Skeleton 016_WaistRBack,FKA-Skeleton 016_WaistRBack,FKA-Skeleton 016_WaistRFront,FKA-Skeleton 016_WaistRFront,FKA-Skeleton 016_WaistRFront
,ID,"F96547C914BD11EF9EF77C4821DCE1A5","F96547C914BD11EF9EF77C4821DCE1A5","F96547C914BD11EF9EF77C4821DCE1A5","F96547D014BD11EF9EF77C4821DCE1A5","F96547D014BD11EF9EF77C4821DCE1A5","F96547D014BD11EF9EF77C4821DCE1A5","F96547CA14BD11EF9EF77C4821DCE1A5","F96547CA14BD11EF9EF77C4821DCE1A5","F96547CA14BD11EF9EF77C4821DCE1A5","F96547C314BD11EF9EF77C4821DCE1A5","F96547C314BD11EF9EF77C4821DCE1A5","F96547C314BD11EF9EF77C4821DCE1A5","F96547C014BD11EF9EF77C4821DCE1A5","F96547C014BD11EF9EF77C4821DCE1A5","F96547C014BD11EF9EF77C4821DCE1A5","F96547BF14BD11EF9EF77C4821DCE1A5","F96547BF14BD11EF9EF77C4821DCE1A5","F96547BF14BD11EF9EF77C4821DCE1A5","F96547B314BD11EF9EF77C4821DCE1A5","F96547B314BD11EF9EF77C4821DCE1A5","F96547B314BD11EF9EF77C4821DCE1A5","F96547B614BD11EF9EF77C4821DCE1A5","F96547B614BD11EF9EF77C4821DCE1A5","F96547B614BD11EF9EF77C4821DCE1A5","F96547D814BD11EF9EF77C4821DCE1A5","F96547D814BD11EF9EF77C4821DCE1A5","F96547D814BD11EF9EF77C4821DCE1A5","F96547BA14BD11EF9EF77C4821DCE1A5","F96547BA14BD11EF9EF77C4821DCE1A5","F96547BA14BD11EF9EF77C4821DCE1A5","F96547B714BD11EF9EF77C4821DCE1A5","F96547B714BD11EF9EF77C4821DCE1A5","F96547B714BD11EF9EF77C4821DCE1A5","F96547B814BD11EF9EF77C4821DCE1A5","F96547B814BD11EF9EF77C4821DCE1A5","F96547B814BD11EF9EF77C4821DCE1A5","F96547B914BD11EF9EF77C4821DCE1A5","F96547B914BD11EF9EF77C4821DCE1A5","F96547B914BD11EF9EF77C4821DCE1A5","F96547BD14BD11EF9EF77C4821DCE1A5","F96547BD14BD11EF9EF77C4821DCE1A5","F96547BD14BD11EF9EF77C4821DCE1A5","F96547BC14BD11EF9EF77C4821DCE1A5","F96547BC14BD11EF9EF77C4821DCE1A5","F96547BC14BD11EF9EF77C4821DCE1A5","F96547CD14BD11EF9EF77C4821DCE1A5","F96547CD14BD11EF9EF77C4821DCE1A5","F96547CD14BD11EF9EF77C4821DCE1A5","F96547B114BD11EF9EF77C4821DCE1A5","F96547B114BD11EF9EF77C4821DCE1A5","F96547B114BD11EF9EF77C4821DCE1A5","F96547B214BD11EF9EF77C4821DCE1A5","F96547B214BD11EF9EF77C4821DCE1A5","F96547B214BD11EF9EF77C4821DCE1A5","F96547B014BD11EF9EF77C4821DCE1A5","F96547B014BD11EF9EF77C4821DCE1A5","F96547B014BD11EF9EF77C4821DCE1A5","F96547D514BD11EF9EF77C4821DCE1A5","F96547D514BD11EF9EF77C4821DCE1A5","F96547D514BD11EF9EF77C4821DCE1A5","F96547C214BD11EF9EF77C4821DCE1A5","F96547C214BD11EF9EF77C4821DCE1A5","F96547C214BD11EF9EF77C4821DCE1A5","F96547BB14BD11EF9EF77C4821DCE1A5","F96547BB14BD11EF9EF77C4821DCE1A5","F96547BB14BD11EF9EF77C4821DCE1A5","F96547CB14BD11EF9EF77C4821DCE1A5","F96547CB14BD11EF9EF77C4821DCE1A5","F96547CB14BD11EF9EF77C4821DCE1A5","F96547D414BD11EF9EF77C4821DCE1A5","F96547D414BD11EF9EF77C4821DCE1A5","F96547D414BD11EF9EF77C4821DCE1A5","F96547C614BD11EF9EF77C4821DCE1A5","F96547C614BD11EF9EF77C4821DCE1A5","F96547C614BD11EF9EF77C4821DCE1A5","F96547D714BD11EF9EF77C4821DCE1A5","F96547D714BD11EF9EF77C4821DCE1A5","F96547D714BD11EF9EF77C4821DCE1A5","F96547C814BD11EF9EF77C4821DCE1A5","F96547C814BD11EF9EF77C4821DCE1A5","F96547C814BD11EF9EF77C4821DCE1A5","F96547C114BD11EF9EF77C4821DCE1A5","F96547C114BD11EF9EF77C4821DCE1A5","F96547C114BD11EF9EF77C4821DCE1A5","F96547D114BD11EF9EF77C4821DCE1A5","F96547D114BD11EF9EF77C4821DCE1A5","F96547D114BD11EF9EF77C4821DCE1A5","F96547BE14BD11EF9EF77C4821DCE1A5","F96547BE14BD11EF9EF77C4821DCE1A5","F96547BE14BD11EF9EF77C4821DCE1A5","F96547CC14BD11EF9EF77C4821DCE1A5","F96547CC14BD11EF9EF77C4821DCE1A5","F96547CC14BD11EF9EF77C4821DCE1A5","F96547B414BD11EF9EF77C4821DCE1A5","F96547B414BD11EF9EF77C4821DCE1A5","F96547B414BD11EF9EF77C4821DCE1A5","F96547C514BD11EF9EF77C4821DCE1A5","F96547C514BD11EF9EF77C4821DCE1A5","F96547C514BD11EF9EF77C4821DCE1A5","F96547B514BD11EF9EF77C4821DCE1A5","F96547B514BD11EF9EF77C4821DCE1A5","F96547B514BD11EF9EF77C4821DCE1A5","F96547D314BD11EF9EF77C4821DCE1A5","F96547D314BD11EF9EF77C4821DCE1A5","F96547D314BD11EF9EF77C4821DCE1A5","F96547C414BD11EF9EF77C4821DCE1A5","F96547C414BD11EF9EF77C4821DCE1A5","F96547C414BD11EF9EF77C4821DCE1A5","F96547C714BD11EF9EF77C4821DCE1A5","F96547C714BD11EF9EF77C4821DCE1A5","F96547C714BD11EF9EF77C4821DCE1A5","F96547CF14BD11EF9EF77C4821DCE1A5","F96547CF14BD11EF9EF77C4821DCE1A5","F96547CF14BD11EF9EF77C4821DCE1A5","F96547D614BD11EF9EF77C4821DCE1A5","F96547D614BD11EF9EF77C4821DCE1A5","F96547D614BD11EF9EF77C4821DCE1A5","F96547CE14BD11EF9EF77C4821DCE1A5","F96547CE14BD11EF9EF77C4821DCE1A5","F96547CE14BD11EF9EF77C4821DCE1A5","F96547D214BD11EF9EF77C4821DCE1A5","F96547D214BD11EF9EF77C4821DCE1A5","F96547D214BD11EF9EF77C4821DCE1A5"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-126.415283,1284.044678,-88.120674,-93.124550,1289.946167,168.316559,-64.339592,1479.825806,30.306341,215.715378,1291.502075,-6.542844,248.093994,1716.770020,34.454277,85.730911,1698.225830,132.357742,130.744965,1797.181396,35.581593,-53.951736,110.677353,-122.206825,-60.935154,1109.654297,-254.373871,86.355049,780.315125,-318.250092,-130.917145,66.042168,-48.080704,12.597710,527.159180,-159.673508,47.015877,308.551147,-101.158478,-104.056763,1374.620972,-183.229797,45.980541,1482.658447,-201.307190,155.572922,693.266357,-109.566643,104.476601,48.540878,-45.945477,73.124512,43.301205,-169.283005,156.721115,56.178978,-103.479164,-54.833981,1160.497314,-190.596588,145.677475,906.243652,-247.774475,69.692665,908.851501,-302.086212,-28.073368,107.300819,180.620636,0.901133,1106.828003,294.628601,159.657547,798.742432,337.798157,-96.185028,86.092865,131.371109,41.509060,510.292480,198.759277,81.486847,402.903595,125.153061,-52.902203,1374.856323,236.989685,94.361305,1471.980469,235.469864,147.552826,586.635437,123.868553,124.031082,39.219585,81.873024,109.867279,24.749825,222.867310,187.243454,58.382908,147.125519,-9.290636,1172.996948,233.959549,178.774307,938.932617,300.948364,124.489037,924.612732,341.656128,-134.446548,1009.461670,-68.209236,73.158638,996.872375,-190.972122,-101.930870,1006.660950,146.893219,147.291245,1008.234253,194.130188
1,0.008333,-126.597656,1283.982178,-88.169250,-93.386673,1289.849121,168.305679,-64.566513,1479.805176,30.314056,215.472229,1291.494263,-6.536080,247.834610,1716.789185,34.553444,85.401520,1698.248169,132.355453,130.472610,1797.201050,35.597710,-53.977001,110.664955,-122.211212,-60.982777,1109.613770,-254.341934,86.656036,780.448914,-318.613403,-130.930420,66.025787,-48.089787,12.440571,527.148926,-159.687943,46.899582,308.556152,-101.155914,-104.251328,1374.601562,-183.233795,45.718906,1482.655273,-201.310760,155.428009,693.246338,-109.569328,104.465439,48.550213,-45.942738,73.119598,43.310452,-169.283234,156.710449,56.198292,-103.474792,-54.806633,1160.375610,-190.563049,145.962311,906.460327,-248.302429,69.822281,908.954651,-302.376831,-27.944313,107.397903,180.649979,0.788977,1106.702271,294.570709,159.773804,798.681213,337.429657,-95.726921,86.488487,131.053574,41.350323,510.277283,198.729218,81.372360,402.917847,125.141991,-53.105801,1374.772583,236.971985,94.096336,1471.909546,235.473450,147.383560,586.626404,123.856689,124.030991,39.222988,81.877281,109.866852,24.757080,222.863953,187.236023,58.391449,147.123932,-9.482825,1172.904907,233.935715,178.800415,938.926514,300.694458,124.539467,924.527771,341.398224,-134.600983,1009.441589,-68.278831,73.030739,996.861938,-190.997147,-102.160179,1006.678955,146.834122,147.093872,1008.232971,194.123901
2,0.016667,-126.778793,1283.920532,-88.218994,-93.646286,1289.758789,168.288727,-64.794907,1479.785522,30.321619,215.230331,1291.485718,-6.530050,247.575851,1716.811401,34.652100,85.067284,1698.270874,132.352692,130.195358,1797.221313,35.614140,-54.001835,110.652039,-122.215630,-61.028816,1109.573242,-254.310928,86.944984,780.583069,-318.978180,-130.943909,66.008904,-48.098209,12.286208,527.138733,-159.704071,46.783676,308.561768,-101.153381,-104.443985,1374.580444,-183.239502,45.458370,1482.652100,-201.314758,155.282990,693.226196,-109.571609,104.454742,48.559704,-45.940228,73.114586,43.318787,-169.283340,156.699814,56.217579,-103.470383,-54.779243,1160.254883,-190.531219,146.236099,906.671265,-248.824585,69.946480,909.055969,-302.668884,-27.811054,107.499626,180.680710,0.673555,1106.574707,294.511841,159.880341,798.616882,337.070312,-95.294945,86.862190,130.753494,41.188835,510.261536,198.699417,81.257629,402.931824,125.130531,-53.311497,1374.690674,236.953201,93.826950,1471.837524,235.476501,147.212967,586.616760,123.844070,124.030090,39.225708,81.881134,109.865776,24.763737,222.861008,187.228882,58.399757,147.122238,-9.676645,1172.812622,233.910980,178.820145,938.918823,300.448120,124.582535,924.443848,341.146942,-134.752686,1009.420044,-68.347969,72.905754,996.852112,-191.024536,-102.381790,1006.693115,146.771027,146.897858,1008.232117,194.117188
3,0.025000,-126.958099,1283.865479,-88.266975,-93.902092,1289.676880,168.265228,-65.026894,1479.767090,30.328682,214.991409,1291.476685,-6.524099,247.317444,1716.838867,34.749573,84.727135,1698.293091,132.349777,129.908951,1797.242432,35.631435,-54.026337,110.637253,-122.219795,-61.068359,1109.529907,-254.281815,87.212738,780.715515,-319.345306,-130.957535,65.989296,-48.104198,12.134666,527.127441,-159.721695,46.668507,308.568604,-101.151054,-104.633484,1374.556641,-183.248825,45.201401,1482.648560,-201.317719,155.137054,693.205322,-109.573547,104.444824,48.569592,-45.938145,73.109818,43.326405,-169.283310,156.689392,56.236492,-103.465805,-54.752430,1160.135986,-190.503281,146.495499,906.874878,-249.338547,70.060875,909.153381,-302.960724,-27.672235,107.607918,180.712769,0.551893,1106.442505,294.451385,159.976196,798.551086,336.728271,-94.908936,87.195427,130.485596,41.022774,510.244659,198.669403,81.142326,402.945953,125.118881,-53.520996,1374.614380,236.934784,93.554863,1471.764160,235.478119,147.040924,586.607117,123.829117,124.028580,39.227730,81.884338,109.863968,24.769579,222.858261,187.222473,58.408161,147.121002,-9.872561,1172.719604,233.885101,178.829300,938.909180,300.214874,124.612579,924.360718,340.907684,-134.901703,1009.397278,-68.417717,72.783165,996.842346,-191.054794,-102.589661,1006.696228,146.702286,146.706528,1008.231995,194.109756
4,0.033333,-127.135811,1283.818359,-88.312340,-94.149582,1289.600708,168.237930,-65.263748,1479.748901,30.333807,214.756485,1291.467407,-6.517972,247.059647,1716.873047,34.844353,84.381439,1698.312744,132.347458,129.612762,1797.264771,35.650017,-54.050407,110.620850,-122.223907,-61.099819,1109.484131,-254.257050,87.455032,780.844238,-319.716064,-130.971512,65.966080,-48.107365,11.985192,527.114197,-159.739090,46.554028,308.576660,-101.149033,-104.819138,1374.529175,-183.264282,44.952816,1482.645996,-201.317566,154.991104,693.183594,-109.575661,104.435760,48.579647,-45.936707,73.105270,43.333229,-169.282974,156.679474,56.254948,-103.460754,-54.727356,1160.018921,-190.480957,146.740799,907.071045,-249.843292,70.161644,909.245728,-303.248901,-27.530384,107.721886,180.745743,0.422334,1106.308472,294.389618,160.067200,798.490051,336.408783,-94.583344,87.476097,130.259811,40.851921,510.225708,198.638336,81.026840,402.960571,125.107719,-53.736847,1374.545166,236.916885,93.285767,1471.691284,235.478836,146.867630,586.598267,123.810860,124.027031,39.229546,81.886757,109.861732,24.775150,222.855331,187.216370,58.417110,147.119354,-10.069618,1172.623047,233.857468,178.825790,938.898438,299.997620,124.626320,924.278748,340.683807,-135.048935,1009.375244,-68.489861,72.661514,996.831665,-191.087860,-102.784210,1006.685486,146.627182,146.519287,1008.231262,194.101852
5,0.041667,-127.313004,1283.777466,-88.356461,-94.384407,1289.524780,168.208649,-65.505463,1479.727417,30.334383,214.524994,1291.457275,-6.512360,246.800217,1716.913696,34.937981,84.026909,1698.327881,132.345062,129.310898,1797.289429,35.670296,-54.073906,110.603607,-122.228455,-61.124336,1109.438599,-254.239685,87.668030,780.967224,-320.089813,-130.985840,65.940269,-48.108562,11.837196,527.098694,-159.755737,46.439667,308.584961,-101.147087,-105.001114,1374.497681,-183.288208,44.718620,1482.645630,-201.314926,154.847565,693.161987,-109.577759,104.427086,48.589451,-45.935932,73.100426,43.339161,-169.282349,156.670181,56.272999,-103.455391,-54.705002,1159.904175,-190.466095,146.969254,907.257263,-250.335632,70.245987,909.331970,-303.531189,-27.389822,107.837204,180.778641,0.284855,1106.178955,294.326691,160.155075,798.438232,336.113525,-94.327370,87.697479,130.081314,40.676659,510.203888,198.605194,80.911247,402.975433,125.097290,-53.962704,1374.481934,236.898224,93.022942,1471.623047,235.480011,146.693375,586.591248,123.789009,124.025597,39.231754,81.888474,109.859413,24.780237,222.852127,187.210480,58.426556,147.116669,-10.268250,1172.520996,233.826645,178.809082,938.887939,299.797943,124.622414,924.199707,340.477692,-135.195557,1009.355164,-68.564926,72.540123,996.820068,-191.123795,-102.970757,1006.661865,146.546127,146.331360,1008.228210,194.094208
